"","lon","lat","adr"
"AG Real Estate3",25.7906761,-80.13627,"AG Real Estate Services Inc, Lincoln Road, Miami Beach, FL, United States"
"AG Real Estate4",20.7103201,-103.4104443,"A.G. Real Estate & Associates, Badger Ranch Boulevard, Waco, TX, United States"
"AG Real Estate5",48.8800997,2.313468,"AG Real Estate, Boulevard Malesherbes, Paris, France"
"Ageas1",50.9097004,-1.4043509,"The Ageas Bowl, Southampton, United Kingdom"
"Ageas2",50.967182,-1.374688,"Ageas Insurance Ltd, Eastleigh, United Kingdom"
"Ageas3",51.8642449,-2.238156,"Ageas Insurance, Gloucester, United Kingdom"
"Ageas4",52.9883922,-2.1681709,"Ageas, Gordon Banks Drive, Stoke-on-Trent, United Kingdom"
"Ageas5",51.5073509,-0.1277583,"Ageas, City of London, United Kingdom"
"Befimmo1",50.8167845,4.4247792,"Befimmo, Chaussée de Wavre, Auderghem, Belgium"
"Befimmo2",50.71469,4.3991,"Befimmo Property Services, Waterloo, Belgium"
"Befimmo3",50.8854878,4.4709968,"Befimmo Property Services, Zaventem, Belgium"
"Befimmo4",50.9272511,4.4257868,"Befimmo Property Services, Vilvoorde, Belgium"
"Befimmo5",50.8503396,4.3517103,"Befimmo Property Services, Brussels, Belgium"
"Cofinimmo1",50.8503396,4.3517103,"COFINIMMO S.A., Boulevard de la Woluwe, Brussels, Belgium"
"Cofinimmo2",50.8408881,4.3761532,"Cofinimmo S.A., Rue Belliard, Brussels, Belgium"
"Cofinimmo3",51.1559541,4.4318937,"Cofinimmo Services, Edegem, Belgium"
"Cofinimmo4",51.0953575,3.6059674,"Cofinimmo Sa, Lovendegem, Belgium"
"Cofinimmo5",51.0258761,4.4775362,"Cofinimmo, Mechelen, Belgium"
"Effortel1",42.1748372,24.7417421,"Effortel, branch Plovdiv, улица „Васил Левски“, Plovdiv, Bulgaria"
"Effortel2",50.8333432,4.3666294,"Effortel SA, Ixelles, Belgium"
"Effortel3",57.6263802,39.8727027,"Effortel, OAO, OP v g. Yaroslavle, ulitsa Chaykovskogo, Yaroslavl, Russia"
"Effortel4",59.98634,30.322658,"Effortel, Beloostrovskaya ulitsa, Saint Petersburg, Russia"
"Effortel5",45.0893717,38.9767234,"Effortel, OAO, Yuzhnyy filial, ulitsa Dzerzhinskogo, Krasnodar, Russia"
"Frère-Bourgeois1",50.8503396,4.3517103,"Frère-Bourgeois sa, Brussels, Belgium"
"Frère-Bourgeois2",51.34635,3.28586,"Frere Bourgeois sv, Knokke-Heist, Belgium"
"Frère-Bourgeois3",49.4834975,8.4564598,"Frere-Bourgeois Commerciale Deutschland GmbH, Rheinvorlandstraße, Mannheim, Germany"
"GIMV1",52.0941956,4.3113031,"Gimv, Groenhovenstraat, The Hague, Netherlands"
"GIMV2",51.195151,4.4090633,"Gimv, Karel Oomsstraat, Antwerp, Belgium"
"GIMV3",48.1403846,11.5726069,"Gimv, Promenadeplatz, Munich, Germany"
"GIMV4",10.5104642,7.4165053,"Gimviya Make Up, Kaduna, Nigeria"
"GIMV5",48.8687979,2.2895079,"Gimv France, Rue Lauriston, Paris, France"
"KBC Bank1",53.3498053,-6.2603097,"KBC Bank, Dublin, Ireland"
"KBC Bank2",53.3366965,-6.2490116,"KBC Bank, Baggot Street Lower, Dublin, Ireland"
"KBC Bank3",53.3444316,-6.2608796,"KBC Bank College Green, Dublin, Ireland"
"KBC Bank4",51.2688141,4.6417799,"Kbc Bank Zoersel St.-Antonius, Handelslei, Zoersel, Belgium"
"KBC Bank5",51.2310783,2.9193391,"Kbc Bank Oostende-Kerkstraat, Kerkstraat, Ostend, Belgium"
"Keytrade Bank1",50.8503396,4.3517103,"Keytrade Bank, Boulevard du Souverain, Brussels, Belgium"
"Keytrade Bank2",49.611621,6.1319346,"Keytrade Bank Luxembourg SA, Luxembourg City, Luxembourg"
"Keytrade Bank3",51.9247772,4.4780972,"Keytrade Bank, Hofplein, Rotterdam, Netherlands"
"Keytrade Bank4",46.208202,6.1433786,"Keytrade Bank SA, Bruxelles, succursale de Genève, Rue de Chantepoulet, Geneva, Switzerland"
"RHJ International",22.396428,114.109497,"Rhj International Ltd, Hong Kong"
"Ablynx1",51.0100414,3.7097105,"Ablynx NV, Zwijnaarde science Park, Ghent, Belgium"
"Ablynx2",51.0543422,3.7174243,"Ablynx, Ghent, Belgium"
"Ablynx3",41.1528295,-8.6375316,"Ablynx, S.A., Rua do Campo Alegre, Porto, Portugal"
"Ablynx4",51.2063826,4.040883,"Ablynx, Stekene, Belgium"
"Eurogentec1",50.5921962,5.5587774,"Eurogentec Biologics Division, Rue du Bois Saint-Jean, Seraing, Belgium"
"Eurogentec2",37.5472127,-122.0672498,"Eurogentec North America, Inc., Campus Drive, Fremont, CA, United States"
"Eurogentec3",50.5918716,5.5583273,"Eurogentec, Rue du Bois Saint-Jean, Ougrée, Belgium"
"Eurogentec4",50.5838832,5.4996297,"Eurogentec sa, Seraing, Belgium"
"Eurogentec5",47.4732578,-0.5965151,"Eurogentec SA, Avenue du Général Patton, Angers, France"
"Innogenetics1",34.095633,-84.2450168,"Innogenetics Inc, Alderman Drive, Alpharetta, GA, United States"
"Innogenetics2",41.3780865,2.1458666,"Innogenetics Diagnóstica Iberia Sl, Carrer de Tarragona, Barcelona, Spain"
"Janssen Pharmaceutica1",51.90219,-8.35128,"Janssen Pharmaceutical Limited, Little Island, Ireland"
"Janssen Pharmaceutica2",40.5744597,-74.6469179,"Ortho-McNeil-Janssen Pharmaceutical, U.S. 202, Raritan, NJ, United States"
"Janssen Pharmaceutica3",-26.1052876,28.0625177,"Janssen Pharmaceutica (Pty) Ltd, Sandown, Gauteng, South Africa"
"Janssen Pharmaceutica4",40.343784,-74.8156199,"Janssen, Hopewell Township, NJ, United States"
"Janssen Pharmaceutica5",41.4675671,12.9035965,"Janssen Pharmaceutical Latina Office, Latina, Province of Latina, Italy"
"Tibotec",41.8781136,-87.6297982,"Tibotech Therapeutics, North Lake Shore Drive, Chicago, IL, United States"
"TiGenix1",40.5907545,-3.7073998,"Tigenix Sa, Calle de Marconi, Tres Cantos, Spain"
"TiGenix2",52.2317572,0.1446239,"Tigenix, Cambridge Science Park Road, Cambridge, United Kingdom"
"TiGenix3",50.9914805,5.804108,"Tigenix B.V., Urmonderbaan, Geleen, Netherlands"
"TiGenix4",50.8445834,4.7373103,"Tigenix SAU, Romeinse straat, Leuven, Belgium"
"UCB1",34.1052194,-118.3275299,"Upright Citizens Brigade Theatre, Franklin Avenue, Los Angeles, CA, United States"
"UCB2",34.0798555,-118.422887,"UCB Sunset, Sunset Boulevard, Los Angeles, CA, United States"
"UCB3",40.7393722,-74.0028025,"UCB Training Center, 8th Avenue, New York, NY, United States"
"UCB4",40.7236548,-73.9852944,"Upright Citizens Brigade Theatre East, East 3rd Street, New York, NY, United States"
"UCB5",37.8805941,-122.2447958,"UC Berkeley, Berkeley, CA, United States"
"Vanbreda International1",NA,NA,"Vanbreda Risk & Benefits, Plantin en Moretuslei, Antwerp, Belgium"
"Vanbreda International2",3.148465,101.704739,"Vanbreda International Sdn Bhd Bukit Ceylon Kuala Lumpur Federal Territory of Kuala Lumpur Malaysia"
"Vanbreda International3",-33.4488897,-70.6692655,"Vanbreda International Nv,, Santiago, Chile"
"Vanbreda International4",51.2098284,4.4288938,"Vanbreda International, Plantin en Moretuslei, Antwerp, Belgium"
